Feature,Mean |SHAP|
RevolvingUtilizationOfUnsecuredLines,0.52295285
UtilizationXLatePay,0.30658978
WeightedLatePay,0.26286215
TotalTimesPastDue,0.2444357
age,0.18479936
NumberOfOpenCreditLinesAndLoans,0.15920165
HighUtilization,0.14032935
HasLatePay,0.096558675
NetMonthlyIncome,0.08409184
NumberRealEstateLoansOrLines,0.071363755
DebtRatio,0.048189037
AgeBucket,0.04476622
MonthlyIncome,0.04026086
IncomePerDependent,0.034964476
MonthlyDebt,0.03467952
NumberOfTimes90DaysLate,0.03207374
DebtRatioXAge,0.03075949
DebtPerDependent,0.029391395
NumberOfTime60-89DaysPastDueNotWorse,0.022367507
HasRealEstate,0.020138985
MaxedOut,0.017702263
HasSeriousLatePay,0.017316168
IsSenior,0.015031343
NumberOfTime30-59DaysPastDueNotWorse,0.008733163
NumberOfDependents,0.007959975
IsYoung,0.0036920565
HasOpenLoans,0.0015776273
IsNegativeCash,0.00038591813
